msgpack-c 3.2.1-1
mtdev 1.1.6-1
ncmpcpp 0.8.2-12
ncurses 6.2-1
neon 0.31.1-1
neovim 0.4.3-3
nerd-fonts-hack 2.1.0-3
nettle 3.6-1
node-gyp 6.1.0-1
nodejs 14.3.0-1
npm 6.14.5-1
npth 1.6-2
nspr 4.25-1
nss 3.53-1
opencore-amr 0.1.5-4
openjpeg2 2.3.1-2
openmpi 4.0.3-1
openssh 8.3p1-1
openssl 1.1.1.g-2
opera-ffmpeg-codecs 81.0.4044.138-1
opus 1.3.1-2
orc 0.4.31-2
otf-fira-code 4-1
p11-kit 0.23.20-5
pacman 5.2.1-6
pacman-mirrorlist 20200411-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.35-1
perl 5.30.2-1
perl-anyevent 4:7.17-2
perl-anyevent-i3 0.17-5
perl-clone 0.45-1
perl-common-sense 3.75-1
perl-encode-locale 1.05-6
perl-error 0.17029-1
perl-file-listing 6.04-7
perl-html-parser 3.72-9
perl-html-tagset 3.20-9
perl-http-cookies 6.08-2
perl-http-daemon 6.06-1
perl-http-date 6.05-2
perl-http-message 6.24-1
perl-http-negotiate 6.01-7
perl-io-html 1.001-6
perl-json-xs 4.0-3
perl-libwww 6.44-1
perl-lwp-mediatypes 6.02-7
perl-mailtools 2.21-3
perl-net-http 6.19-3
perl-timedate 2.33-1
perl-try-tiny 0.30-4
perl-types-serialiser 1.0-5
perl-uri 1.76-3
perl-www-robotrules 6.02-7
perl-xml-parser 2.46-1
pfetch 0.6.0-1
picom 8-2
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.6.3-4
playerctl 2.1.1-1
polkit 0.116-5
polybar 3.4.3-1
poppler 0.88.0-1
popt 1.16-12
procps-ng 3.3.16-2
protobuf 3.11.4-1
psmisc 23.3-2
pulseaudio 13.0-3
python 3.8.3-1
python-anytree 2.8.0-1
python-appdirs 1.4.4-1
python-babel 2.8.0-4
python-beaker 1.11.0-4
python-chardet 3.0.4-5
python-colorama 0.4.3-1
python-docutils 0.16-1
python-grpcio 1.28.1-1
python-grpcio-tools 1.28.1-1
python-idna 2.9-1
python-imagesize 1.2.0-1
python-importlib-metadata 1.6.0-1
python-jinja 2.11.2-1
python-lxml 4.5.1-1
python-mako 1.1.3-1
python-markdown 3.1.1-4
python-markupsafe 1.1.1-4
python-more-itertools 8.3.0-1
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-protobuf 3.11.4-1
python-pygments 2.6.1-2
python-pyparsing 2.4.7-1
python-pytz 2020.1-1
python-pywal 3.3.0-2
python-requests 2.23.0-1
python-setuptools 1:47.1.1-1
python-six 1.15.0-1
python-snowballstemmer 2.0.0-3
python-sphinx 3.0.4-1
python-sphinx-alabaster-theme 0.7.12-3
python-sphinxcontrib-applehelp 1.0.2-1
python-sphinxcontrib-devhelp 1.0.2-1
python-sphinxcontrib-htmlhelp 1.0.3-1
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.3-1
python-sphinxcontrib-serializinghtml 1.1.4-1
python-termcolor 1.1.0-8
python-tqdm 4.46.0-1
python-urllib3 1.25.9-1
python-zipp 3.1.0-1
python2 2.7.18-1
qt5-base 5.14.2-3
qt5-declarative 5.14.2-1
qt5-wayland 5.14.2-1
qt5-x11extras 5.14.2-1
ranger 1.9.3-1
raptor 2.0.15-13
rasqal 1:0.9.33-3
readline 8.0.004-1
redland 1:1.0.17-8
rest 0.8.1-3
rhash 1.3.9-2
ripgrep 12.1.1-1
rsfetch-bin 2.0.0-1
rtkit 0.13-1
runc 1.0.0rc10-2
rustup 1.21.1-4
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
sdl2 2.0.12-1
sed 4.8-1
semver 7.3.2-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-2
sndio 1.6.0-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spotify-tui 0.20.0-1
spotifyd-full 0.2.24-1
sqlite 3.32.1-1
srt 1.4.1-2
startup-notification 0.12-7
sudo 1.9.0-1
sysfsutils 2.1.0-11
systemd 245.5-2
systemd-libs 245.5-2
systemd-sysvcompat 245.5-2
taglib 1.11.1-4
tar 1.32-3
tdb 1.4.3-2
texinfo 6.7-3
tslib 1.21-2
ttf-dejavu 2.37-3
ttf-droid 20121017-7
ttf-inconsolata 1:3.000-2
ttf-liberation 2.1.0-1
ttf-roboto 2.138-3
ttf-ubuntu-font-family 0.83-5
tzdata 2020a-1
unclutter 1:1.5-1
unibilium 2.1.0-1
unzip 6.0-14
util-linux 2.35.2-1
v4l-utils 1.18.1-1
vid.stab 1.1-3
vim 8.2.0814-2
vim-plug 0.10.0-1
vim-runtime 8.2.0814-2
vmaf 1.5.1-1
vulkan-icd-loader 1.2.141-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webrtc-audio-processing 0.3.1-2
wget 1.20.3-3
which 2.21-5
x264 3:0.159.r2999.296494a-1
x265 3.3-1
xcb-proto 1.14-1
